IDH: 04, IDL: 17, Len: 08, Data: 00 00 00 00 00 00 00 00 
IDH: 00, IDL: 82, Len: 08, Data: 7E 08 40 00 00 00 00 00 
IDH: 00, IDL: 80, Len: 08, Data: FF FC 4D E4 01 C0 83 FF 
IDH: 02, IDL: 30, Len: 08, Data: DD 00 00 00 00 00 36 10 
IDH: 00, IDL: 91, Len: 08, Data: 59 2F 7F 55 7E FE A8 38 
IDH: 00, IDL: 74, Len: 08, Data: FF FC 00 00 00 00 00 00 
IDH: 02, IDL: 15, Len: 08, Data: 27 10 27 10 27 10 27 10 
IDH: 02, IDL: 16, Len: 08, Data: 00 00 03 01 AA 00 00 00 
IDH: 02, IDL: 17, Len: 08, Data: 00 01 00 03 56 50 00 00 
IDH: 04, IDL: 15, Len: 08, Data: 00 00 00 00 00 00 00 5F 
IDH: 00, IDL: 81, Len: 08, Data: F9 5C 01 00 00 00 00 00 
IDH: 00, IDL: 41, Len: 08, Data: 00 61 00 00 00 00 00 00 
IDH: 03, IDL: 50, Len: 08, Data: 00 00 00 00 00 00 00 00 
IDH: 02, IDL: 50, Len: 08, Data: 80 8D 38 2B 02 01 0C 28 
IDH: 04, IDL: 30, Len: 08, Data: 5E 60 00 02 00 10 00 40 
IDH: 00, IDL: 80, Len: 08, Data: FF FC 4D E4 01 C0 84 FF 
IDH: 02, IDL: 00, Len: 08, Data: 27 0E 27 56 27 56 00 00 
IDH: 02, IDL: 01, Len: 08, Data: 11 F8 00 00 27 10 00 00 
IDH: 02, IDL: 30, Len: 08, Data: DD 00 00 00 00 00 36 10 
IDH: 00, IDL: 73, Len: 08, Data: 1C 23 17 59 17 53 1C 39 
IDH: 02, IDL: 11, Len: 08, Data: FF FE 00 64 00 4A 00 00 
IDH: 02, IDL: 15, Len: 08, Data: 27 10 27 10 27 10 27 10 
IDH: 04, IDL: 17, Len: 08, Data: 00 00 00 00 00 00 00 00 
IDH: 00, IDL: 41, Len: 08, Data: 00 61 00 00 00 00 00 00 
IDH: 00, IDL: 82, Len: 08, Data: 7E 08 40 00 00 00 00 00 
IDH: 02, IDL: 30, Len: 08, Data: DD 00 00 00 00 00 36 10 
IDH: 00, IDL: 80, Len: 08, Data: FF FC 4D E4 01 C0 85 FF 
IDH: 00, IDL: 91, Len: 08, Data: 59 2F 7F 81 7E DF A8 38 
IDH: 02, IDL: 15, Len: 08, Data: 27 10 27 10 27 10 27 10 
IDH: 02, IDL: 16, Len: 08, Data: 00 00 03 01 AA 00 00 00 
IDH: 00, IDL: 81, Len: 08, Data: F9 5C 01 00 00 00 00 00 
IDH: 00, IDL: 41, Len: 08, Data: 00 61 00 00 00 00 00 00 
IDH: 04, IDL: 30, Len: 08, Data: 5E 60 00 02 00 10 00 40 
IDH: 02, IDL: 00, Len: 08, Data: 27 10 27 56 27 56 00 00 
IDH: 02, IDL: 01, Len: 08, Data: 11 F0 00 00 27 10 00 00 
IDH: 02, IDL: 30, Len: 08, Data: DD 00 00 00 00 00 36 10 
IDH: 00, IDL: 80, Len: 08, Data: FF FC 4D E4 01 C0 87 FF 
IDH: 00, IDL: 73, Len: 08, Data: 1C 1D 17 63 17 5D 1C 31 
IDH: 02, IDL: 11, Len: 08, Data: FF FE 00 64 00 4A 00 00 
IDH: 02, IDL: 15, Len: 08, Data: 27 10 27 10 27 10 27 10 
IDH: 04, IDL: 17, Len: 08, Data: 00 00 00 00 00 00 00 00 
IDH: 02, IDL: 30, Len: 08, Data: DD 00 00 00 00 00 36 10 
IDH: 00, IDL: 41, Len: 08, Data: 00 61 00 00 00 00 00 00 
IDH: 00, IDL: 82, Len: 08, Data: 7E 08 40 00 00 00 00 00 
IDH: 00, IDL: 80, Len: 08, Data: FF FC 4D E4 01 C0 88 FF 
IDH: 02, IDL: 00, Len: 08, Data: 27 10 27 56 27 56 00 00 
IDH: 02, IDL: 01, Len: 08, Data: 11 F0 00 00 27 10 00 00 
IDH: 02, IDL: 30, Len: 08, Data: DD 00 00 00 00 00 36 10 
IDH: 00, IDL: 91, Len: 08, Data: 59 2F 7F 4B 7F 14 A8 38 
IDH: 02, IDL: 55, Len: 08, Data: 20 00 81 01 7F 63 00 00 
IDH: 04, IDL: 20, Len: 08, Data: 43 00 F6 00 00 00 00 00 
IDH: 02, IDL: 15, Len: 08, Data: 27 10 27 10 27 10 27 10 
IDH: 02, IDL: 16, Len: 08, Data: 00 00 03 01 AA 00 00 00 
IDH: 04, IDL: 22, Len: 08, Data: 00 00 00 00 00 00 00 00 
IDH: 00, IDL: 81, Len: 08, Data: F9 5C 01 00 00 00 00 00 
IDH: 00, IDL: 41, Len: 08, Data: 00 61 00 00 00 00 00 00 
IDH: 04, IDL: 30, Len: 08, Data: 5E 5E 00 02 00 10 00 40 
IDH: 00, IDL: 80, Len: 08, Data: FF FC 4D E4 01 C0 89 FF 
